Indicator Code,Indicator Name,First_Year,Last_Year,Number_of_Years,Coverage_Percent
ER.FSH.CAPT.MT,Capture fisheries production (metric tons),1960,2024,65,98.48484848484848
ER.FSH.AQUA.MT,Aquaculture production (metric tons),1960,2024,65,98.48484848484848
ER.FSH.PROD.MT,Total fisheries production (metric tons),1960,2024,65,98.48484848484848
AG.LND.AGRI.ZS,Agricultural land (% of land area),1961,2023,63,95.45454545454545
AG.LND.ARBL.ZS,Arable land (% of land area),1961,2023,63,95.45454545454545
AG.SRF.TOTL.K2,Surface area (sq. km),1961,2023,63,95.45454545454545
AG.LND.TOTL.K2,Land area (sq. km),1961,2023,63,95.45454545454545
ER.H2O.INTR.K3,"Renewable internal freshwater resources, total (billion cubic meters)",1961,2022,62,93.93939393939394
AG.LND.PRCP.MM,Average precipitation in depth (mm per year),1961,2022,62,93.93939393939394
ER.H2O.INTR.PC,Renewable internal freshwater resources per capita (cubic meters),1961,2022,62,93.93939393939394
EN.GHG.CO2.AG.MT.CE.AR5,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),1970,2024,55,83.33333333333334
EN.GHG.CH4.WA.MT.CE.AR5,Methane (CH4) emissions from Waste (Mt CO2e),1970,2024,55,83.33333333333334
EN.GHG.N2O.FE.MT.CE.AR5,Nitrous oxide (N2O) emissions from Fugitive Emissions (Energy) (Mt CO2e),1970,2024,55,83.33333333333334
EN.GHG.CH4.AG.MT.CE.AR5,Methane (CH4) emissions from Agriculture (Mt CO2e),1970,2024,55,83.33333333333334
EN.GHG.ALL.MT.CE.AR5,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),1970,2024,55,83.33333333333334
EN.GHG.ALL.PC.CE.AR5,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),1970,2024,55,83.33333333333334
EN.GHG.CO2.BU.MT.CE.AR5,Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),1970,2024,55,83.33333333333334
EN.GHG.CO2.IP.MT.CE.AR5,Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),1970,2024,55,83.33333333333334
EN.GHG.CO2.PC.CE.AR5,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),1970,2024,55,83.33333333333334
EN.GHG.CO2.MT.CE.AR5,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),1970,2024,55,83.33333333333334
EN.GHG.CO2.TR.MT.CE.AR5,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),1970,2024,55,83.33333333333334
EN.GHG.CO2.PI.MT.CE.AR5,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),1970,2024,55,83.33333333333334
EN.GHG.CO2.IC.MT.CE.AR5,Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e),1970,2024,55,83.33333333333334
EN.GHG.CO2.FE.MT.CE.AR5,Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e),1970,2024,55,83.33333333333334
EN.GHG.CH4.FE.MT.CE.AR5,Methane (CH4) emissions from Fugitive Emissions (Energy) (Mt CO2e),1970,2024,55,83.33333333333334
EN.GHG.CH4.BU.MT.CE.AR5,Methane (CH4) emissions from Building (Energy) (Mt CO2e),1970,2024,55,83.33333333333334
EN.GHG.CH4.MT.CE.AR5,Methane (CH4) emissions (total) excluding LULUCF (Mt CO2e),1970,2024,55,83.33333333333334
EN.GHG.CH4.IC.MT.CE.AR5,Methane (CH4) emissions from Industrial Combustion (Energy) (Mt CO2e),1970,2024,55,83.33333333333334
EN.GHG.CH4.TR.MT.CE.AR5,Methane (CH4) emissions from Transport (Energy) (Mt CO2e),1970,2024,55,83.33333333333334
EN.GHG.N2O.BU.MT.CE.AR5,Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e),1970,2024,55,83.33333333333334
EN.GHG.CO2.WA.MT.CE.AR5,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),1970,2024,55,83.33333333333334
EN.GHG.N2O.AG.MT.CE.AR5,Nitrous oxide (N2O) emissions from Agriculture (Mt CO2e),1970,2024,55,83.33333333333334
EN.GHG.N2O.IP.MT.CE.AR5,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),1970,2024,55,83.33333333333334
EN.GHG.N2O.IC.MT.CE.AR5,Nitrous oxide (N2O) emissions from Industrial Combustion (Energy) (Mt CO2e),1970,2024,55,83.33333333333334
EN.GHG.N2O.MT.CE.AR5,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),1970,2024,55,83.33333333333334
EN.GHG.N2O.TR.MT.CE.AR5,Nitrous oxide (N2O) emissions from Transport (Energy) (Mt CO2e),1970,2024,55,83.33333333333334
EN.GHG.N2O.PI.MT.CE.AR5,Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e),1970,2024,55,83.33333333333334
EN.GHG.CH4.PI.MT.CE.AR5,Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e),1970,2024,55,83.33333333333334
EN.GHG.N2O.WA.MT.CE.AR5,Nitrous oxide (N2O) emissions from Waste (Mt CO2e),1970,2024,55,83.33333333333334
NY.ADJ.DMIN.CD,Adjusted savings: mineral depletion (current US$),1970,2021,52,78.78787878787878
NY.ADJ.AEDU.GN.ZS,Adjusted savings: education expenditure (% of GNI),1970,2021,52,78.78787878787878
NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$),1970,2021,52,78.78787878787878
NY.ADJ.DNGY.CD,Adjusted savings: energy depletion (current US$),1971,2021,51,77.27272727272727
ER.H2O.FWST.ZS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,1975,2022,48,72.72727272727273
ER.H2O.FWAG.ZS,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",1975,2022,48,72.72727272727273
ER.H2O.FWDM.ZS,"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",1975,2022,48,72.72727272727273
ER.H2O.FWTL.K3,"Annual freshwater withdrawals, total (billion cubic meters)",1975,2022,48,72.72727272727273
ER.H2O.FWIN.ZS,"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",1975,2022,48,72.72727272727273
ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)",1975,2022,48,72.72727272727273
EN.GHG.CO2.RT.GDP.KD,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP),1988,2024,37,56.060606060606055
ER.GDP.FWTL.M3.KD,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",1988,2022,35,53.03030303030303
EN.GHG.CO2.RT.GDP.PP.KD,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),1990,2024,35,53.03030303030303
EN.GHG.FGAS.IP.MT.CE.AR5,F-gases emissions from Industrial Processes (Mt CO2e),1990,2024,35,53.03030303030303
EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",1990,2023,34,51.515151515151516
AG.LND.FRST.K2,Forest area (sq. km),1990,2023,34,51.515151515151516
EN.GHG.CO2.ZG.AR5,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),1991,2024,34,51.515151515151516
