Year,AG.LND.AGRI.ZS,AG.LND.ARBL.ZS,AG.LND.PRCP.MM,AG.LND.TOTL.K2,AG.SRF.TOTL.K2,EN.GHG.CH4.MT.CE.AR5,EN.GHG.CH4.PI.MT.CE.AR5,EN.GHG.CO2.MT.CE.AR5,EN.GHG.CO2.PC.CE.AR5,EN.GHG.CO2.PI.MT.CE.AR5,EN.GHG.CO2.TR.MT.CE.AR5,EN.GHG.CO2.BU.MT.CE.AR5,EN.GHG.CO2.FE.MT.CE.AR5,EN.GHG.CO2.IC.MT.CE.AR5,EN.GHG.CO2.IP.MT.CE.AR5,EN.GHG.CO2.WA.MT.CE.AR5,EN.GHG.CO2.AG.MT.CE.AR5,EN.GHG.CH4.WA.MT.CE.AR5,EN.GHG.CH4.TR.MT.CE.AR5,EN.GHG.CH4.FE.MT.CE.AR5,EN.GHG.CH4.IC.MT.CE.AR5,EN.GHG.CH4.AG.MT.CE.AR5,EN.GHG.CH4.BU.MT.CE.AR5,EN.GHG.ALL.MT.CE.AR5,EN.GHG.ALL.PC.CE.AR5,EN.GHG.N2O.AG.MT.CE.AR5,EN.GHG.N2O.BU.MT.CE.AR5,EN.GHG.N2O.PI.MT.CE.AR5,EN.GHG.N2O.TR.MT.CE.AR5,ER.FSH.AQUA.MT,ER.FSH.CAPT.MT,ER.H2O.INTR.PC,ER.H2O.INTR.K3,ER.FSH.PROD.MT,EN.GHG.N2O.WA.MT.CE.AR5,EN.GHG.N2O.FE.MT.CE.AR5,EN.GHG.N2O.IC.MT.CE.AR5,EN.GHG.N2O.MT.CE.AR5,EN.GHG.N2O.IP.MT.CE.AR5,NY.ADJ.AEDU.GN.ZS,NY.ADJ.DFOR.CD,NY.ADJ.DMIN.CD,NY.ADJ.DNGY.CD,EN.GHG.CO2.RT.GDP.KD,NY.GDP.MINR.RT.ZS,NY.GDP.NGAS.RT.ZS,NY.GDP.PETR.RT.ZS,NY.GDP.FRST.RT.ZS,NY.GDP.COAL.RT.ZS,NY.ADJ.DKAP.CD,NY.GDP.TOTL.RT.ZS,Freshwater_Withdrawal_Percent,Above_Median_Water_Pressure
1975,62.0723362658847,22.8739002932551,661.0,10230.0,10450.0,1.0062,0.0004,6.7109,2.49180247520506,1.0268,1.484,1.4826,0.4667,1.2493,0.9637,0.0002,0.0377,0.7707,0.018,0.0171,0.0014,0.1585,0.04,8.0304,2.98174173313367,0.1132,0.0077,0.0012,0.0118,5.0,2400.0,1782.27240474218,4.8,2405.0,0.0316,0.001,0.0026,0.3133,0.1443,1.8770492,620219.077281746,0.0,0.0,,,,,,,,,15.6458333333333,0
1976,61.58357771261,22.5806451612903,661.0,10230.0,10450.0,1.0017,0.0004,6.3015,2.31123111981101,1.173,1.5337,1.2319,0.4045,0.9043,0.9835,0.0002,0.0704,0.7988,0.0187,0.0166,0.001,0.1268,0.0394,7.6533,2.80703723387282,0.149,0.0071,0.0013,0.0123,10.0,1700.0,1760.5188248977,4.8,1710.0,0.0329,0.0008,0.0019,0.3501,0.1448,1.8770492,479072.05891602,0.0,0.0,,,,,,,,,16.2401315833333,0
1977,61.0948191593353,22.2873900293255,661.0,10230.0,10450.0,1.0144,0.0005,5.477,1.98287206909098,1.3193,1.2419,0.9172,0.4667,0.6679,0.8014,0.0002,0.0625,0.8247,0.0151,0.0145,0.0008,0.1193,0.0395,6.8184,2.46850737920211,0.1306,0.0065,0.0015,0.0099,20.0,1600.0,1737.77358620353,4.8,1620.0,0.0354,0.001,0.0014,0.327,0.1406,1.8770492,617156.6310195,0.0,0.0,,,,,,,,,16.8300438541667,0
1978,60.5083088954057,21.8963831867058,661.0,10230.0,10450.0,1.1062,0.0005,6.6277,2.34801511470297,1.4655,1.4685,1.1064,0.4045,1.3586,0.765,0.0002,0.0591,0.8454,0.0179,0.0155,0.0015,0.1861,0.0392,8.1037,2.87092205214757,0.1628,0.0069,0.0017,0.0118,40.0,1700.0,1700.5103656735,4.8,1740.0,0.0359,0.0008,0.0028,0.3699,0.1472,1.8770492,805386.236444624,0.0,0.0,,,,,,,,,17.4287280625,0
1979,59.9217986314761,21.505376344086,661.0,10230.0,10450.0,1.1201,0.0006,7.4506,2.5846491144387,1.6149,1.5213,1.0583,0.2303,1.8751,1.1003,0.0002,0.0503,0.8681,0.0185,0.015,0.0021,0.1774,0.0384,8.9568,3.10715716696703,0.1723,0.0067,0.0018,0.0122,25.0,1650.0,1665.1431762953,4.8,1675.0,0.0393,0.0005,0.0039,0.3861,0.1495,1.8770492,1035886.53190532,0.0,0.0,,,,,,,,,18.0142543958333,0
1980,58.7487781036168,20.5278592375367,661.0,10230.0,10450.0,1.1648,0.0017,7.5346,2.55864393840863,2.9155,1.8535,1.6176,0.2489,0.0175,0.8286,0.0002,0.0528,0.8899,0.0226,0.0188,0.0,0.1936,0.038,9.1074,3.0927446453246,0.1787,0.008,0.0041,0.0148,40.0,1700.0,1630.01233036411,4.8,1740.0,0.0423,0.0005,0.0001,0.408,0.1595,1.8770492,1184659.06640164,0.0,0.0,,,,,,,,,18.6173245625,0
1981,58.455522971652,20.5278592375367,661.0,10230.0,10450.0,1.1836,0.0018,7.6244,2.53388107136602,2.679,2.0056,1.395,0.2365,0.0175,1.2341,0.0002,0.0566,0.9121,0.0244,0.015,0.0,0.1923,0.0381,9.2318,3.06808185229485,0.1917,0.0074,0.004,0.016,70.0,1500.0,1595.22442979866,4.8,1570.0,0.0431,0.0005,0.0001,0.4238,0.161,1.8770492,940714.990586898,0.0,0.0,,,,,,,,,19.1984649166667,0
1982,58.455522971652,20.3323558162268,661.0,10230.0,10450.0,1.1887,0.0016,5.6155,1.83817572311781,2.6012,1.5523,0.442,0.0747,0.0085,0.8851,0.0002,0.0515,0.9355,0.0189,0.0048,0.0,0.1905,0.0373,7.2369,2.36892420810814,0.2147,0.0055,0.0038,0.0124,120.0,1400.0,1571.23025037227,4.8,1520.0,0.0451,0.0002,0.0,0.4327,0.151,1.8770492,1468061.73407089,0.0,0.0,,,,,,,,,19.8059210625,0
1983,58.455522971652,20.3323558162268,661.0,10230.0,10450.0,1.2084,0.0015,5.9904,1.93551138676754,2.3678,1.9125,0.6998,0.0778,0.1369,0.764,0.0002,0.0314,0.9601,0.0234,0.0049,0.0001,0.1803,0.0381,7.6125,2.45961545669203,0.1865,0.0058,0.0034,0.0154,200.0,1300.0,1550.89053426886,4.8,1500.0,0.0456,0.0002,0.0003,0.4137,0.1566,1.8770492,1186905.24796381,0.0,0.0,,,,,,,,,20.4002192916667,0
1984,58.455522971652,20.3323558162268,661.0,10230.0,10450.0,1.2331,0.0013,6.121,1.94148335545163,2.2527,1.987,0.9864,0.1182,0.112,0.633,0.0002,0.0314,0.9835,0.0242,0.007,0.0001,0.1788,0.0382,7.7723,2.4652493193231,0.1901,0.0064,0.0031,0.0159,300.0,1200.0,1522.48327171505,4.8,1500.0,0.0445,0.0002,0.0002,0.4181,0.1575,1.8770492,1003804.38103187,0.0,0.0,,,,,,,,,20.9945175416667,0
