Indicator Code,Indicator Name
AG.LND.AGRI.ZS,Agricultural land (% of land area)
AG.LND.ARBL.ZS,Arable land (% of land area)
AG.LND.PRCP.MM,Average precipitation in depth (mm per year)
AG.LND.TOTL.K2,Land area (sq. km)
AG.SRF.TOTL.K2,Surface area (sq. km)
EN.GHG.ALL.MT.CE.AR5,Total greenhouse gas emissions excluding LULUCF (Mt CO2e)
EN.GHG.ALL.PC.CE.AR5,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita)
EN.GHG.CH4.AG.MT.CE.AR5,Methane (CH4) emissions from Agriculture (Mt CO2e)
EN.GHG.CH4.BU.MT.CE.AR5,Methane (CH4) emissions from Building (Energy) (Mt CO2e)
EN.GHG.CH4.FE.MT.CE.AR5,Methane (CH4) emissions from Fugitive Emissions (Energy) (Mt CO2e)
EN.GHG.CH4.IC.MT.CE.AR5,Methane (CH4) emissions from Industrial Combustion (Energy) (Mt CO2e)
EN.GHG.CH4.MT.CE.AR5,Methane (CH4) emissions (total) excluding LULUCF (Mt CO2e)
EN.GHG.CH4.PI.MT.CE.AR5,Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e)
EN.GHG.CH4.TR.MT.CE.AR5,Methane (CH4) emissions from Transport (Energy) (Mt CO2e)
EN.GHG.CH4.WA.MT.CE.AR5,Methane (CH4) emissions from Waste (Mt CO2e)
EN.GHG.CO2.AG.MT.CE.AR5,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e)
EN.GHG.CO2.BU.MT.CE.AR5,Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e)
EN.GHG.CO2.FE.MT.CE.AR5,Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e)
EN.GHG.CO2.IC.MT.CE.AR5,Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e)
EN.GHG.CO2.IP.MT.CE.AR5,Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e)
EN.GHG.CO2.MT.CE.AR5,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)
EN.GHG.CO2.PC.CE.AR5,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita)
EN.GHG.CO2.PI.MT.CE.AR5,Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e)
EN.GHG.CO2.RT.GDP.KD,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP)
EN.GHG.CO2.TR.MT.CE.AR5,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)
EN.GHG.CO2.WA.MT.CE.AR5,Carbon dioxide (CO2) emissions from Waste (Mt CO2e)
EN.GHG.N2O.AG.MT.CE.AR5,Nitrous oxide (N2O) emissions from Agriculture (Mt CO2e)
EN.GHG.N2O.BU.MT.CE.AR5,Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e)
EN.GHG.N2O.FE.MT.CE.AR5,Nitrous oxide (N2O) emissions from Fugitive Emissions (Energy) (Mt CO2e)
EN.GHG.N2O.IC.MT.CE.AR5,Nitrous oxide (N2O) emissions from Industrial Combustion (Energy) (Mt CO2e)
EN.GHG.N2O.IP.MT.CE.AR5,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e)
EN.GHG.N2O.MT.CE.AR5,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e)
EN.GHG.N2O.PI.MT.CE.AR5,Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e)
EN.GHG.N2O.TR.MT.CE.AR5,Nitrous oxide (N2O) emissions from Transport (Energy) (Mt CO2e)
EN.GHG.N2O.WA.MT.CE.AR5,Nitrous oxide (N2O) emissions from Waste (Mt CO2e)
ER.FSH.AQUA.MT,Aquaculture production (metric tons)
ER.FSH.CAPT.MT,Capture fisheries production (metric tons)
ER.FSH.PROD.MT,Total fisheries production (metric tons)
ER.H2O.INTR.K3,"Renewable internal freshwater resources, total (billion cubic meters)"
ER.H2O.INTR.PC,Renewable internal freshwater resources per capita (cubic meters)
NY.ADJ.AEDU.GN.ZS,Adjusted savings: education expenditure (% of GNI)
NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$)
NY.ADJ.DKAP.CD,Adjusted savings: consumption of fixed capital (current US$)
NY.ADJ.DMIN.CD,Adjusted savings: mineral depletion (current US$)
NY.ADJ.DNGY.CD,Adjusted savings: energy depletion (current US$)
NY.GDP.COAL.RT.ZS,Coal rents (% of GDP)
NY.GDP.FRST.RT.ZS,Forest rents (% of GDP)
NY.GDP.MINR.RT.ZS,Mineral rents (% of GDP)
NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP)
NY.GDP.PETR.RT.ZS,Oil rents (% of GDP)
NY.GDP.TOTL.RT.ZS,Total natural resources rents (% of GDP)
